,Missing_%,NonNull_Count
Customer_ID,0.0,500
Age,0.0,500
Income,7.8,461
Credit_Score,0.4,498
Credit_Utilization,0.0,500
Missed_Payments,0.0,500
Delinquent_Account,0.0,500
Loan_Balance,5.8,471
Debt_to_Income_Ratio,0.0,500
Employment_Status,0.0,500
Account_Tenure,0.0,500
Credit_Card_Type,0.0,500
Location,0.0,500
Month_1,0.0,500
Month_2,0.0,500
Month_3,0.0,500
Month_4,0.0,500
Month_5,0.0,500
Month_6,0.0,500
